date,close,open,high,low,volume,volume.1,turnover,total_shares,PE_TTM,PB,PS_TTM,reits_divd,EPS_TTM,pre_close,MA5,MA10,MACD,RSI,DX,next_return
2019/6/24,3801.3098,3836.3051,3853.5452,3819.7692,10008.4621,143.6447,0.3702,3722.7653,12.5174,1.4894,1.2185,2.3338,0.7808,3833.9383,3777.45582,3729.27487,20.18478332,64.01839797,32.18655854,-0.010401805
2019/6/25,3794.331,3837.4259,3838.0578,3755.0099,12407.5912,169.3588,0.4589,3722.8989,12.3984,1.4756,1.2069,2.3696,0.7808,3841.2659,3804.19408,3737.47826,24.21975392,58.90721518,13.7635142,-0.001835894
2019/6/26,3834.8172,3779.5125,3809.758,3771.7164,8182.0283,112.1069,0.3026,3722.9739,12.3762,1.4736,1.2048,2.399,0.7808,3801.3098,3819.87266,3747.80179,26.54833369,58.03566199,13.7635142,0.010670181
2019/6/27,3825.5873,3807.5376,3854.0801,3805.8328,10531.6358,156.4834,0.3895,3724.959,12.4824,1.4869,1.2151,2.4224,0.7804,3794.331,3821.13244,3762.74418,31.29984281,61.58642045,22.35334132,-0.002406868
2019/6/28,3935.8116,3832.0599,3835.2326,3803.0546,8476.6139,116.5121,0.3131,3727.6859,12.4419,1.484,1.2112,2.5606,0.7798,3834.8172,3819.46224,3779.81492,33.92955346,60.33307475,21.53614447,0.028812387
2019/7/1,3937.1691,3899.3313,3936.668,3886.909,15837.034,217.4703,0.5848,3727.6906,12.7368,1.5192,1.2399,2.4096,0.8133,3825.5873,3838.37138,3807.9136,44.39602815,68.56144053,37.85613308,0.00034491
2019/7/2,3893.5341,3931.0486,3942.4257,3918.9378,13186.3496,173.997,0.4859,3728.3188,12.7423,1.5198,1.2404,2.4096,0.8132,3935.8116,3865.54324,3834.86866,52.19861056,68.64769898,38.63633261,-0.011082836
2019/7/3,3873.1019,3927.4365,3927.4365,3878.8405,11199.2603,163.1457,0.4127,3734.2286,12.629,1.5071,1.2294,2.6621,0.8119,3937.1691,3885.38386,3852.62826,54.23603426,62.69327458,26.7059292,-0.005247726
2019/7/4,3893.2025,3895.1978,3906.8894,3854.693,9934.2256,142.6693,0.3659,3734.2294,12.5809,1.5006,1.2247,2.6542,0.8119,3893.5341,3893.0408,3857.08662,53.58431284,60.06598909,20.00815423,0.005189794
2019/7/5,3802.7897,3875.3736,3900.3095,3857.928,7400.6527,116.2365,0.2725,3735.464,12.6223,1.5063,1.2287,2.6788,0.8116,3873.1019,3906.56384,3863.01304,54.06652412,61.76361394,20.00815423,-0.023223246
